순번,도서명,저자,발행처,발행년
1,한국재벌과 흑막.9:신동아 최성모 · 쌍용 김성곤,김교식 편저,청화출판사,1992
2,한국재벌과 흑막.1:유한양행 유일한 · 현대 정주영,김교식 편저,청화출판사,1992
3,한국재벌과 흑막.2:삼양사 김계수 · 대우 김우중,김교식 편저,청화출판사,1992
4,한국재벌과 흑막.3:성창 정태성 · 효성 조홍제,김교식 편저,청화출판사,1992
5,한국재벌과 흑막.4:진로 장학엽 · 코오롱 이원만,김교식 편저,청화출판사,1992
6,한국재벌과 흑막.6:기아 김철호 · 삼양식품 전중윤,김교식 편저,청화출판사,1992
7,한국재벌과 흑막.7:전방 김용주 · 동아제역 강중희,김교식 편저,청화출판사,1992
8,한국재벌과 흑막.8:삼성 이병철 · 동양시멘트 이양구,김교식 편저,청화출판사,1992
9,한국재벌과 흑막.10:두산 박두병 · 대동공업 김상만,김교식 편저,청화출판사,1992
10,한국재벌과 흑막.11:종근당 이종근 · 한진 조중훈,김교식 편저,청화출판사,1992
11,한국재벌과 흑막.12:국제 양정모 · 한일합섬 김한수,김교식 편저,청화출판사,1992
12,한국재벌과 흑막.13:율산 신선호 · 제세 이창우,김교식 편저,청화출판사,1992
13,한국재벌과 흑막.14:동명목재 강석진 · 명성 김철호,김교식 편저,청화출판사,1992
14,한국재벌과 흑막.15:영동 이복례 · 큰손 장영자,김교식 편저,청화출판사,1992
15,(신고)행정학원론,김규정 저,법문사,1994
16,천애명월도.2,고룡 지음;강호 옮김,독서당,1995
17,실용한자사전,조한구 편저,목인법한자연구원,1997
18,실용한자사전,조한구 편저,목인법한자연구원,1997
19,실용한자사전,조한구 편저,목인법한자연구원,1997
20,전기응용,지철근 저,문운당,1999
21,전기응용,지철근 저,문운당,1999
22,(한영관계 200년 속에서 본)근대한영해양교류사,김재성 저,인제대학교출판부,1997
23,길 없는 길.1:거문고의 비밀,최인호 지음,여백,2008
24,길 없는 길.2:불타는 집,최인호 지음,여백,2009
25,길 없는 길.3:생각의 화살,최인호 지음,여백,2009
26,길 없는 길.4:하늘가의 방랑객,최인호 지음,여백,2009
27,현대중국어 어법,한국중국학회 편;공재석 편저,동화출판공사,1984
28,현대중국어 어법,한국중국학회 편;공재석 편저,동화출판공사,1987
29,(신고)회계이론,김영청 저,박영사,1983
30,증기공학,서정윤;오수철;최국광 공저,청문각,2001
31,일기일회,법정 지음,문학의숲,2009
32,(최신)공작기계,강명순 지음,청문각,1998
33,배관지지설계,발조주식회사 편저;기전연구사 역,기전연구사,1993
34,(1997)신소법전,박우동 편,한국사법행정학회,1997
35,(건축 환경)음향학개론,건축환경음향연구회 [역편],한미,2000
36,이 책 한 권이면 영어신문을 쉽게 읽을 수 있다!,시사영어사편집국 편저,시사영어사,1995
37,"조선여자 정신대.2:버마편, 국제기아 조선인",백우암 지음,민성사,1992
38,고문진보,노태준 [역해],홍신문화사,1994
39,(누구나 자신을 가질 수 있는)전기수학,코이치카미사카 저;기전연구사편집부 역,기전연구사,1998
40,(누구나 자신을 가질 수 있는)전기수학,코이치카미사카 저;기전연구사편집부 역,기전연구사,1998
41,응용기계설계.1:윈치 기중기 프레스 공작기계,응용기계설계연구회 편,동명사,1996
42,(최신)치공구설계,차일남 외 공저,대광서림,2000
43,플랜트설계 간이계산법:Ⅰ．Ⅱ．Ⅲ 합본,진호근 편저,기술,2001
44,기계요소설계,천성달 외 편저,원창출판사,1995
45,기계요소설계,천성달 외 편저,원창출판사,1995
46,공기조화 · 냉동기계,공기조화시험연구회 편,성안당,1990
47,(최신)전기 · 전자:기초실험,박창옥;이승 공저,동일출판사,1998
48,(현대)디지털공학실험,구성모 외 공저,복두출판사,2001
49,(현대)디지털공학실험,구성모 외 공저,복두출판사,1998
50,(신편)전자기학,김재환 저,동일출판사,2000
51,(최신판)전기기사실기,이준웅;홍진웅 공저,동일출판사,1995
52,(최신판)전기기사실기,이준웅;홍진웅 공저,동일출판사,1995
53,기계공작법,조정기 외 공저,기전연구사,1998
54,자가용전기설비의 모든것:기획·설계에서 운용실무까지,김정철 저,기다리,1998
55,천부경강전,최동원 저,천지성지사,2002
56,회로(망)이론,한인승;이동원;이상용 공저,상학당,1998
57,(핵심체크)경제법,고대사법연구회 편,법학사,1997
58,신기계설계학,박재춘 외 공저,청문각,2001
59,"(ANSI, ISO, SK 규격에 의한 기하공차)공차론",최호선 저,성안당,1999
60,(최신)기계설계학,박재춘;이중호 공저,동명사,1995
61,(메카트로닉스를 위한)센서응용회로 101선,타니코시킨지 저;이종락 옮김,세화,2000
62,(전자·정보 통신 공학도를 위한)최신회로이론,공병옥;박영근;이홍기 공저,복두출판사,1998
63,한국의 건축,윤장섭 저,서울대학교 출판부,1996
64,프로그래머블 콘트롤러 활용기술,이근철;박인정;박인학 공편,기전연구사,1992
65,(완성)냉동공학,오후규 저,한미,1999
66,신회로이론,박송배 저,문운당,1998
67,(예제 연습)기계설계제도,강형모 외 공저,형설출판사,1996
68,(스마트)전기·전자 용어사전,전기전자관련용어편찬위원회 편,탐구원,1998
69,(스마트)전기·전자 용어사전,전기전자관련용어편찬위원회 편,탐구원,1998
70,한국식생활의 역사,이성우 저,수학사,1996
71,자동기계기구학,마키노요 지음;자동화기구연구회 옮김,기전연구사,1998
72,(최신)무역학원론,이덕무;이춘삼 공저,동성출판사,1993
73,비교사회정책 연구,현외성 저,성은출판사,1991
74,자동화 기구 300선:제어회로부,구마가이마사루 편;자동화기구연구회 역,기전연구사,1998
75,기계설계 데이터북,Douglas C. 그린우드 편저;기전연구사편집부 역,기전연구사,1995
76,아들아! 나는 청춘을 군인으로 살았다,윤항중 지음,시사출판,1995
77,동국세시기,최대림 [역해],홍익출판사,1993
78,대순진리학술논총.제2집,대진대학교부설대진학술원 편,대진대학교부설대진학술원,2008
79,향기 남은 가을:김상옥 시화선집,김상옥 저,상서각,1989
80,유체역학연습,이관수 저,원화,2003
81,한국문예사전,어문각편집부 편,어문각,1991
82,강대국의 흥망,폴 케네디 저;이일수;전남석;황건 공역,한국경제신문,1994
83,용접용어사전,대한용접학회 편,원창출판사,1999
84,마아케팅조사론:SPSS해설부,류동근 저,선일출판사,1984
85,인생은 무소유:잃어버린 나를 찾아,이청담 저,삼육출판사,1993
86,(현대인의 필독서)작은 효 큰 사랑,서영준 엮음,오성출판사,1995
87,(실용)기계설계와 최적화기법,이장무 외 공역,동명사,1996
88,중국어학습사전,차경섭 편저,전인출판사,1996
89,공민왕과 노국공주.2,이준범 저,민예사,1994
90,(패자)중이.1권:고원의 황사바람,미야기다니마사미쓰 지음;양억관 옮김,대산출판사,1997
91,황사혈풍.3:왜곡된 사실,와룡생 지음;선우옥 옮김,경운,1994
92,황사혈풍.4:악자의 최후,와룡생 지음;선우옥 옮김,경운,1994
