N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"88,300","1,500",+1.73%,100,"5,271,318","5,969,783",55.43,"11,078,277",24.11,8.69,
2,SK하이닉스,"134,500","6,000",+4.67%,"5,000","979,163","728,002",50.22,"2,872,705",34.12,4.25,
3,LG화학,"981,000","6,000",+0.62%,"5,000","692,511","70,592",43.59,"138,504",91.66,1.84,
4,삼성전자우,"78,100",500,+0.64%,100,"642,675","822,887",80.16,"1,207,179",21.33,N/A,
5,NAVER,"349,500","6,000",+1.75%,100,"574,101","164,263",57.18,"897,480",69.58,10.56,
6,현대차,"257,500",500,+0.19%,"5,000","550,196","213,668",31.12,"865,943",61.53,4.32,
7,삼성SDI,"789,000","3,000",-0.38%,"5,000","542,552","68,765",44.68,"219,955",269.19,2.94,
8,삼성바이오로직스,"792,000","2,000",-0.25%,"2,500","524,027","66,165",10.23,"44,577",147.46,4.77,
9,셀트리온,"319,500","9,500",+3.06%,"1,000","431,318","134,998",20.48,"496,130",86.35,11.19,
10,카카오,"468,000","5,000",+1.08%,500,"414,189","88,502",33.89,"388,501",-519.42,-5.81,
11,기아차,"88,700",900,+1.03%,"5,000","359,557","405,363",35.95,"2,641,877",41.22,6.50,
12,현대모비스,"345,500","4,500",-1.29%,"5,000","328,414","95,055",41.82,"513,706",21.07,7.28,
13,LG전자,"178,500","1,000",+0.56%,"5,000","292,111","163,648",34.15,"1,574,980",38.77,0.22,
14,삼성물산,"148,000","2,000",+1.37%,100,"276,593","186,887",15.06,"294,702",24.79,4.77,
15,SK이노베이션,"285,000","7,000",+2.52%,"5,000","263,527","92,466",23.69,"642,481",-10.84,-0.20,
16,LG생활건강,"1,669,000","107,000",+6.85%,"5,000","260,668","15,618",45.61,"80,808",37.39,20.32,
17,SK,"347,500","19,500",+5.95%,200,"244,502","70,360",21.94,"391,152","1,466.24",4.31,
18,POSCO,"263,500","2,500",+0.96%,"5,000","229,737","87,187",51.03,"159,327",24.14,4.18,
19,엔씨소프트,"993,000","4,000",+0.40%,500,"218,003","21,954",49.78,"42,485",38.86,14.72,
20,SK텔레콤,"256,500","2,500",+0.98%,500,"207,113","80,746",34.72,"152,102",18.89,3.92,
21,LG,"110,000","3,000",+2.80%,"5,000","189,813","172,557",34.77,"245,959",15.55,5.87,
